Thread  	Address                 	Instruction                     	Result                                  	
0000DEAD	ROM:Entry+8             	Memory layout changed: 2 segments	Memory layout changed: 2 segments       	
0000DEAD	                        	                                	R0=00010FA7 R1=200013B8 R2=00000000 R3=00000000 R4=00004000 R5=0000004E R6=00000000 R7=00000000 R8=00000001 R9=0000C9E8 R10=FFFFFFE4 R11=00000000 R12=AA00001C SP=200013B8 LR=0000197B PSR=81000000 MSP=200013B8 PSP=24004208 PRIMASK=00000000 BASEPRI=00000000 FAULTMASK=00000000 CONTROL=00000000 FPSCR=FFFFFFFF S0=FFFFFFFF S1=FFFFFFFF S2=FFFFFFFF S3=FFFFFFFF S4=FFFFFFFF S5=FFFFFFFF S6=FFFFFFFF S7=FFFFFFFF S8=FFFFFFFF S9=FFFFFFFF S10=FFFFFFFF S11=FFFFFFFF S12=FFFFFFFF S13=FFFFFFFF S14=FFFFFFFF S15=FFFFFFFF S16=FFFFFFFF S17=FFFFFFFF S18=FFFFFFFF S19=FFFFFFFF S20=FFFFFFFF S21=FFFFFFFF S22=FFFFFFFF S23=FFFFFFFF S24=FFFFFFFF S25=FFFFFFFF S26=FFFFFFFF S27=FFFFFFFF S28=FFFFFFFF S29=FFFFFFFF S30=FFFFFFFF S31=FFFFFFFF D0=FFFFFFFFFFFFFFFF D1=FFFFFFFFFFFFFFFF D2=FFFFFFFFFFFFFFFF D3=FFFFFFFFFFFFFFFF D4=FFFFFFFFFFFFFFFF D5=FFFFFFFFFFFFFFFF D6=FFFFFFFFFFFFFFFF D7=FFFFFFFFFFFFFFFF D8=FFFFFFFFFFFFFFFF D9=FFFFFFFFFFFFFFFF D10=FFFFFFFFFFFFFFFF D11=FFFFFFFFFFFFFFFF D12=FFFFFFFFFFFFFFFF D13=FFFFFFFFFFFFFFFF D14=FFFFFFFFFFFFFFFF D15=F
0000DEAD	ROM:Entry+8             	BL              Entry_1         	LR=00010FB3 ISR_NUMBER=20               	
0000DEAD	ROM:Entry_1             	BL              init_scs_test   	LR=00010F69                             	
0000DEAD	ROM:init_scs_test       	LDR             R0, =dword_4000; Undocumented SCS (System Contol Space) Register Init	R0=00004000                             	
0000DEAD	ROM:init_scs_test+2     	LDR             R1, =unk_E000ED08;  |	R1=E000ED08                             	
0000DEAD	ROM:init_scs_test+4     	LSRS            R0, R0, #7;  |  	R0=00000080 N=0                         	
0000DEAD	ROM:init_scs_test+6     	LSLS            R0, R0, #7;  |  	R0=00004000                             	
0000DEAD	ROM:init_scs_test+8     	STR             R0, [R1];  /    	                                        	
0000DEAD	ROM:init_scs_test+A     	MOVS            R0, #1; Return with 1 in R0	R0=00000001                             	
0000DEAD	ROM:init_scs_test+C     	BX              LR              	                                        	
0000DEAD	ROM:Entry_1+4           	CMP             R0, #0          	C=1                                     	
0000DEAD	ROM:Entry_1+6           	BEQ             init_scs_test_failed	                                        	
0000DEAD	ROM:Entry_1+8           	BL              sub_10F10       	LR=00010F71                             	
0000DEAD	ROM:sub_10F10           	PUSH            {R4,LR}         	SP=200013B0 MSP=200013B0                	
0000DEAD	ROM:sub_10F10+2         	LDR             R1, =(loc_10F20 - 0x10F18)	R1=00000008                             	
0000DEAD	ROM:sub_10F10+4         	ADD             R1, PC; loc_10F20	R1=00010F20                             	
0000DEAD	ROM:sub_10F10+6         	ADDS            R1, #0x18       	R1=00010F38 C=0                         	
0000DEAD	ROM:sub_10F10+8         	LDR             R4, =(unk_10F4E - 0x10F1E)	R4=00000030                             	
0000DEAD	ROM:sub_10F10+A         	ADD             R4, PC; unk_10F4E	R4=00010F4E                             	
0000DEAD	ROM:sub_10F10+C         	ADDS            R4, #0x16       	R4=00010F64                             	
0000DEAD	ROM:sub_10F10+E         	B               loc_10F2A       	                                        	
0000DEAD	ROM:sub_10F10:loc_10F2A 	CMP             R1, R4          	N=1                                     	
0000DEAD	ROM:sub_10F10+1C        	BNE             loc_10F20       	                                        	
0000DEAD	ROM:sub_10F10:loc_10F20 	LDR             R2, [R1]; Read a word from CL 0x00010F3C	R2=FFFF68CF                             	
0000DEAD	ROM:sub_10F10+12        	ADDS            R0, R1, #4      	R0=00010F3C N=0                         	
0000DEAD	ROM:sub_10F10+14        	ADDS            R1, R2, R1      	R1=00007807 C=1                         	
0000DEAD	ROM:sub_10F10+16        	BLX             R1; sub_7806    	LR=00010F29                             	
0000DEAD	ROM:sub_7806            	LDR.W           R1, [R0],#4     	R0=00010F40 R1=00000A00                 	
0000DEAD	ROM:sub_7806+4          	CBZ             R1, locret_7826 	                                        	
0000DEAD	ROM:sub_7806+6          	LDR.W           R2, [R0],#4     	R0=00010F44 R2=200003B8                 	
0000DEAD	ROM:sub_7806+A          	LSLS            R3, R2, #0x1F   	C=0 Z=1                                 	
0000DEAD	ROM:sub_7806+C          	ITT MI                          	IT[3:2]=1 IT[7:4]=4                     	
0000DEAD	ROM:sub_7806+E          	SUBMI.W         R3, R9, #1      	IT[3:2]=2                               	
0000DEAD	ROM:sub_7806+12         	ADDMI           R2, R3, R2      	IT[3:2]=0 IT[7:4]=0                     	
0000DEAD	ROM:sub_7806:memclr_loop	MOVS            R3, #0;  Entering with R2=0x3B8, R1=0xA00	                                        	
0000DEAD	ROM:sub_7806+16         	STR.W           R3, [R2],#4     	R2=200003BC                             	
0000DEAD	ROM:sub_7806+1A         	SUBS            R1, R1, #4      	R1=000009FC C=1 Z=0                     	
0000DEAD	ROM:sub_7806+1C         	BNE             memclr_loop     	R1=00000000 R2=20000DB8 Z=1             	
0000DEAD	ROM:sub_7806+1E         	B               sub_7806        	R0=00010F48                             	
0000DEAD	ROM:sub_7806:locret_7826	BX              LR              	                                        	
0000DEAD	ROM:sub_10F10+18        	MOV             R1, R0          	R0=00010F64 R1=00010F64 R2=0001109A R3=000110A5 LR=00010DED	
0000DEAD	ROM:sub_10F10+1E        	POP             {R4,PC}         	R4=00004000 SP=200013B8 MSP=200013B8    	
0000DEAD	ROM:Entry_1:init_scs_test_failed	MOVS            R0, #0          	R0=00000000                             	
0000DEAD	ROM:Entry_1+E           	NOP                             	                                        	
0000DEAD	ROM:Entry_1+10          	NOP                             	                                        	
0000DEAD	ROM:Entry_1+12          	BL              sub_B3EC        	LR=00010F7B                             	
0000DEAD	ROM:sub_B3EC            	PUSH            {R4-R7,LR}      	SP=200013A4 MSP=200013A4                	
0000DEAD	ROM:sub_B3EC+2          	SUB             SP, SP, #4      	SP=200013A0 MSP=200013A0                	
0000DEAD	ROM:sub_B3EC+4          	BL              sub_B0D2        	LR=0000B3F5                             	
0000DEAD	ROM:sub_B0D2            	PUSH            {R4,R5,LR}      	SP=20001394 MSP=20001394                	
0000DEAD	ROM:sub_B0D2+2          	SUB             SP, SP, #0xC    	SP=20001388 MSP=20001388                	
0000DEAD	ROM:sub_B0D2+4          	LDR.W           R0, =0x3D0900   	R0=003D0900                             	
0000DEAD	ROM:sub_B0D2+8          	BL              sub_AF16        	LR=0000B0DF                             	
0000DEAD	ROM:sub_AF16            	LDR.W           R1, =unk_20000000	R1=20000000                             	
0000DEAD	ROM:sub_AF16+4          	LDRB            R2, [R1]        	R2=00000000                             	
0000DEAD	ROM:sub_AF16+6          	CBZ             R2, loc_AF22    	                                        	
0000DEAD	ROM:sub_AF16:loc_AF22   	LDR             R2, [R1,#8]     	                                        	
0000DEAD	ROM:sub_AF16+E          	CMP             R2, R0          	C=0 Z=0 N=1                             	
0000DEAD	ROM:sub_AF16+10         	BEQ             locret_AF54     	                                        	
0000DEAD	ROM:sub_AF16+12         	STR             R0, [R1,#8]     	                                        	
0000DEAD	ROM:sub_AF16+14         	LDR.W           R1, =0x3D0900   	R1=003D0900                             	
0000DEAD	ROM:sub_AF16+18         	CMP             R0, R1          	C=1 Z=1 N=0                             	
0000DEAD	ROM:sub_AF16+1A         	IT EQ                           	IT[3:2]=2                               	
0000DEAD	ROM:sub_AF16+1C         	MOVS            R0, #0          	R0=00000000 IT[3:2]=0                   	
0000DEAD	ROM:sub_AF16+1E         	BEQ             loc_AF4C        	                                        	
0000DEAD	ROM:sub_AF16:loc_AF4C   	B.W             sub_C46C        	                                        	
0000DEAD	ROM:sub_C46C            	PUSH            {R4-R7,LR}      	SP=20001374 MSP=20001374                	
0000DEAD	ROM:0000C46E            	SUB             SP, SP, #4      	SP=20001370 MSP=20001370                	
