Thread  	Address                 	Instruction                     	Result                                  	
0000DEAD	ROM:0000C470            	MOV             R5, R0          	R5=00000000                             	
0000DEAD	ROM:0000C472            	MOVS            R4, #0          	R4=00000000                             	
0000DEAD	ROM:0000C474            	CBNZ            R5, loc_C490    	                                        	
0000DEAD	ROM:0000C476            	LDR             R6, =0x3D0900   	R6=003D0900                             	
0000DEAD	ROM:loc_C478            	LDR             R7, =unk_400E0848	R7=400E0848                             	
0000DEAD	ROM:0000C47A            	LDR             R0, [R7]        	R0=00630080                             	
0000DEAD	ROM:0000C47C            	LSLS            R0, R0, #0x1F   	R0=00000000 C=0                         	
0000DEAD	ROM:0000C47E            	BPL             loc_C4A8        	                                        	
0000DEAD	ROM:loc_C4A8            	MOVS            R0, #0          	                                        	
0000DEAD	ROM:0000C4AA            	BL              sub_D568        	LR=0000C4AF                             	
0000DEAD	ROM:sub_D568            	MRS.W           R1, PRIMASK     	R1=00000000                             	
0000DEAD	ROM:sub_D568+4          	SUBS            R1, R1, #1      	R1=FFFFFFFF Z=0 N=1                     	
0000DEAD	ROM:sub_D568+6          	SBCS            R1, R1          	                                        	
0000DEAD	ROM:sub_D568+8          	LSRS            R1, R1, #0x1F   	R1=00000001 C=1 N=0                     	
0000DEAD	ROM:sub_D568+A          	CPSID           I               	PRIMASK=00000001                        	
0000DEAD	ROM:sub_D568+C          	DMB.W           SY              	                                        	
0000DEAD	ROM:sub_D568+10         	LDR             R2, =unk_200003A5	R2=200003A5                             	
0000DEAD	ROM:sub_D568+12         	MOVS            R3, #0          	R3=00000000 Z=1                         	
0000DEAD	ROM:sub_D568+14         	STRB            R3, [R2]        	                                        	
0000DEAD	ROM:sub_D568+16         	MOV.W           R12, #0xAA000000	R12=AA000000                            	
0000DEAD	ROM:sub_D568+1A         	LDR             R3, =unk_400E0000	R3=400E0000                             	
0000DEAD	ROM:sub_D568+1C         	STR.W           R12, [R3,#(unk_400E0058 - 0x400E0000)]	                                        	
0000DEAD	ROM:sub_D568+20         	STR             R0, [R3]        	                                        	
0000DEAD	ROM:sub_D568+22         	CBZ             R1, locret_D596 	                                        	
0000DEAD	ROM:sub_D568+24         	MOVS            R0, #1          	R0=00000001 Z=0                         	
0000DEAD	ROM:sub_D568+26         	STRB            R0, [R2]        	                                        	
0000DEAD	ROM:sub_D568+28         	DMB.W           SY              	                                        	
0000DEAD	ROM:sub_D568+2C         	CPSIE           I               	PRIMASK=00000000                        	
0000DEAD	ROM:sub_D568:locret_D596	BX              LR              	                                        	
0000DEAD	ROM:0000C4AE            	BL              sub_CB96        	LR=0000C4B3                             	
0000DEAD	ROM:sub_CB96            	MRS.W           R0, PRIMASK     	R0=00000000                             	
0000DEAD	ROM:sub_CB96+4          	SUBS            R0, R0, #1      	R0=FFFFFFFF C=0 N=1                     	
0000DEAD	ROM:sub_CB96+6          	SBCS            R0, R0          	                                        	
0000DEAD	ROM:sub_CB96+8          	LSRS            R0, R0, #0x1F   	R0=00000001 C=1 N=0                     	
0000DEAD	ROM:sub_CB96+A          	CPSID           I               	PRIMASK=00000001                        	
0000DEAD	ROM:sub_CB96+C          	DMB.W           SY              	                                        	
0000DEAD	ROM:sub_CB96+10         	LDR             R1, =unk_200003A5	R1=200003A5                             	
0000DEAD	ROM:sub_CB96+12         	LDR.W           R12, =0xAA000048	R12=AA000048                            	
0000DEAD	ROM:sub_CB96+16         	MOVS            R2, #0          	R2=00000000 Z=1                         	
0000DEAD	ROM:sub_CB96+18         	STRB            R2, [R1]        	                                        	
0000DEAD	ROM:sub_CB96+1A         	LDR             R2, =unk_400E0818	R2=400E0818                             	
0000DEAD	ROM:sub_CB96+1C         	LDR             R3, [R2,#(unk_400E0848 - 0x400E0818)]	R3=00630080                             	
0000DEAD	ROM:sub_CB96+1E         	STR.W           R12, [R2]       	                                        	
0000DEAD	ROM:sub_CB96+22         	LDR.W           R12, =0xFFFFFCFE	R12=FFFFFCFE                            	
0000DEAD	ROM:sub_CB96+26         	AND.W           R3, R12, R3     	                                        	
0000DEAD	ROM:sub_CB96+2A         	STR             R3, [R2,#(unk_400E0848 - 0x400E0818)]	                                        	
0000DEAD	ROM:sub_CB96+2C         	CBZ             R0, locret_CBCE 	                                        	
0000DEAD	ROM:sub_CB96+2E         	MOVS            R0, #1          	Z=0                                     	
0000DEAD	ROM:sub_CB96+30         	STRB            R0, [R1]        	                                        	
0000DEAD	ROM:sub_CB96+32         	DMB.W           SY              	                                        	
0000DEAD	ROM:sub_CB96+36         	CPSIE           I               	PRIMASK=00000000                        	
0000DEAD	ROM:sub_CB96:locret_CBCE	BX              LR              	                                        	
0000DEAD	ROM:0000C4B2            	MOV             R0, R5          	R0=00000000                             	
0000DEAD	ROM:0000C4B4            	BL              sub_CB54        	LR=0000C4B9                             	
0000DEAD	ROM:sub_CB54            	MRS.W           R1, PRIMASK     	R1=00000000                             	
0000DEAD	ROM:sub_CB54+4          	PUSH            {R4,R5}         	SP=20001368 MSP=20001368                	
0000DEAD	ROM:sub_CB54+6          	SUBS            R1, R1, #1      	R1=FFFFFFFF C=0 N=1                     	
0000DEAD	ROM:sub_CB54+8          	SBCS            R1, R1          	                                        	
0000DEAD	ROM:sub_CB54+A          	LSRS            R1, R1, #0x1F   	R1=00000001 C=1 N=0                     	
0000DEAD	ROM:sub_CB54+C          	CPSID           I               	PRIMASK=00000001                        	
0000DEAD	ROM:sub_CB54+E          	DMB.W           SY              	                                        	
0000DEAD	ROM:sub_CB54+12         	LDR             R2, =unk_200003A5	R2=200003A5                             	
0000DEAD	ROM:sub_CB54+14         	LDR             R5, =0xAA000048 	R5=AA000048                             	
0000DEAD	ROM:sub_CB54+16         	MOVS            R3, #0          	R3=00000000 Z=1                         	
0000DEAD	ROM:sub_CB54+18         	STRB            R3, [R2]        	                                        	
0000DEAD	ROM:sub_CB54+1A         	LSLS            R0, R0, #8      	C=0                                     	
0000DEAD	ROM:sub_CB54+1C         	LDR             R3, =unk_400E0818	R3=400E0818                             	
0000DEAD	ROM:sub_CB54+1E         	LDR             R4, [R3,#(unk_400E0848 - 0x400E0818)]	R4=00630080                             	
0000DEAD	ROM:sub_CB54+20         	BIC.W           R4, R4, #0x300  	                                        	
0000DEAD	ROM:sub_CB54+24         	AND.W           R0, R0, #0x300  	                                        	
0000DEAD	ROM:sub_CB54+28         	ORRS            R0, R4          	R0=00630080 Z=0                         	
0000DEAD	ROM:sub_CB54+2A         	STR             R5, [R3]        	                                        	
0000DEAD	ROM:sub_CB54+2C         	ORR.W           R0, R0, #1      	R0=00630081                             	
0000DEAD	ROM:sub_CB54+30         	STR             R0, [R3,#(unk_400E0848 - 0x400E0818)]	                                        	
0000DEAD	ROM:sub_CB54+32         	CBZ             R1, loc_CB92    	                                        	
0000DEAD	ROM:sub_CB54+34         	MOVS            R0, #1          	R0=00000001                             	
0000DEAD	ROM:sub_CB54+36         	STRB            R0, [R2]        	                                        	
0000DEAD	ROM:sub_CB54+38         	DMB.W           SY              	                                        	
0000DEAD	ROM:sub_CB54+3C         	CPSIE           I               	PRIMASK=00000000                        	
0000DEAD	ROM:sub_CB54:loc_CB92   	POP             {R4,R5}         	R4=00000000 R5=00000000 SP=20001370 MSP=20001370	
0000DEAD	ROM:sub_CB54+40         	BX              LR              	                                        	
0000DEAD	ROM:loc_C4B8            	LDR             R0, [R7]        	R0=00630081                             	
0000DEAD	ROM:0000C4BA            	LSLS            R0, R0, #0x1F   	R0=80000000 N=1                         	
0000DEAD	ROM:0000C4BC            	BPL             loc_C4B8        	                                        	
0000DEAD	ROM:0000C4BE            	MOV             R2, R4          	R2=00000000                             	
0000DEAD	ROM:0000C4C0            	MOVS            R1, #1          	N=0                                     	
0000DEAD	ROM:0000C4C2            	MOV             R0, R6          	R0=003D0900                             	
0000DEAD	ROM:0000C4C4            	BL              sub_F818        	LR=0000C4C9                             	
0000DEAD	ROM:sub_F818            	PUSH            {R4,R5,LR}      	SP=20001364 MSP=20001364                	
0000DEAD	ROM:sub_F818+2          	SUB             SP, SP, #4      	SP=20001360 MSP=20001360                	
0000DEAD	ROM:sub_F818+4          	CBNZ            R1, loc_F878    	                                        	
0000DEAD	ROM:sub_F818:loc_F878   	LDR.W           R5, =unk_400A0000	R5=400A0000                             	
0000DEAD	ROM:sub_F818+64         	LDR.W           R1, =0x7A1201   	R1=007A1201                             	
0000DEAD	ROM:sub_F818+68         	CMP             R0, R1          	N=1                                     	
0000DEAD	ROM:sub_F818+6A         	LDR             R0, [R5]        	R0=00000000                             	
0000DEAD	ROM:sub_F818+6C         	ITE CS                          	IT[3:2]=3 IT[7:4]=2                     	
0000DEAD	ROM:sub_F818+6E         	ORRCS.W         R0, R0, #0x40   	IT[3:2]=2 IT[7:4]=3                     	
0000DEAD	ROM:sub_F818+72         	BICCC.W         R0, R0, #0x40   	IT[3:2]=0 IT[7:4]=0                     	
0000DEAD	ROM:sub_F818+76         	STR             R0, [R5]        	                                        	
0000DEAD	ROM:sub_F818:loc_F890   	LDR.W           R4, =unk_2000039C	R4=2000039C                             	
0000DEAD	ROM:sub_F818+7C         	LDR             R0, [R4]        	R0=0000F8BB                             	
0000DEAD	ROM:sub_F818+7E         	BLX             R0              	LR=0000F899                             	
0000DEAD	ROM:0000F8BA            	LDR.W           R0, unk_F8E0    	R0=400A0008                             	
0000DEAD	ROM:unk_F8BE            	LDR             R1, [R0]        	R1=00000001                             	
0000DEAD	ROM:0000F8C0            	LSLS            R1, R1, #0x1F   	R1=80000000                             	
0000DEAD	ROM:0000F8C2            	BPL             unk_F8BE        	                                        	
0000DEAD	ROM:0000F8C4            	BX              LR              	                                        	
0000DEAD	ROM:sub_F818+80         	LDR             R0, [R5,#(unk_400A0004 - 0x400A0000)]	R0=00000000                             	
0000DEAD	ROM:sub_F818+82         	LSRS            R0, R0, #6      	Z=1 N=0                                 	
0000DEAD	ROM:sub_F818+84         	LSLS            R0, R0, #6      	                                        	
0000DEAD	ROM:sub_F818+86         	ORR.W           R0, R0, #0xA5000000	R0=A5000000                             	
0000DEAD	ROM:sub_F818+8A         	ORR.W           R0, R0, #0x11   	R0=A5000011                             	
0000DEAD	ROM:sub_F818:loc_F8A6   	STR             R0, [R5,#(unk_400A0004 - 0x400A0000)]	                                        	
0000DEAD	ROM:sub_F818+90         	LDR             R0, [R5,#(unk_400A0008 - 0x400A0000)]	R0=00000001                             	
0000DEAD	ROM:sub_F818+92         	AND.W           R0, R0, #0xC    	R0=00000000                             	
0000DEAD	ROM:sub_F818+96         	STR             R0, [R4,#(unk_200003A0 - 0x2000039C)]	                                        	
0000DEAD	ROM:sub_F818+98         	LDR             R0, [R4]        	R0=0000F8BB                             	
0000DEAD	ROM:sub_F818+9A         	ADD             SP, SP, #4      	SP=20001364 MSP=20001364                	
0000DEAD	ROM:sub_F818+9C         	POP.W           {R4,R5,LR}      	R4=00000000 R5=00000000 SP=20001370 LR=0000C4C9 MSP=20001370	
0000DEAD	ROM:sub_F818+A0         	BX              R0              	R0=400A0008 Z=0 N=1                     	
0000DEAD	ROM:0000C4C8            	MOVS            R0, #5          	R0=00000005 N=0                         	
0000DEAD	ROM:0000C4CA            	BL              sub_D568        	R0=00000001 R1=00000001 R2=200003A5 R3=400E0000 R12=AA000000 LR=0000C4CF C=1	
0000DEAD	ROM:0000C4CE            	LDR             R4, =0x400F0000 	R4=400F0000                             	
0000DEAD	ROM:0000C4D0            	MOVS            R1, #1          	                                        	
0000DEAD	ROM:0000C4D2            	MOV             R0, R4          	R0=400F0000                             	
0000DEAD	ROM:0000C4D4            	BL              sub_C120        	LR=0000C4D9                             	
0000DEAD	ROM:sub_C120            	LDR             R2, [R0,#0x1C]  	R2=00010000                             	
0000DEAD	ROM:sub_C120+2          	LDR.W           R12, =unk_400F0018	R12=400F0018                            	
0000DEAD	ROM:sub_C120+6          	LSRS            R2, R2, #2      	R2=00004000 C=0                         	
0000DEAD	ROM:sub_C120+8          	AND.W           R1, R1, #3      	                                        	
0000DEAD	ROM:sub_C120+C          	LDR             R3, =0xAA00001C 	R3=AA00001C                             	
0000DEAD	ROM:sub_C120+E          	STR.W           R3, [R12]       	                                        	
0000DEAD	ROM:sub_C120+12         	ORR.W           R1, R1, R2,LSL#2	R1=00010001                             	
0000DEAD	ROM:sub_C120+16         	ORR.W           R1, R1, #0xC    	R1=0001000D                             	
0000DEAD	ROM:sub_C120+1A         	STR             R1, [R0,#0x1C]  	                                        	
0000DEAD	ROM:sub_C120+1C         	BX              LR              	                                        	
0000DEAD	ROM:loc_C4D8            	MOV             R0, R4          	                                        	
0000DEAD	ROM:0000C4DA            	BL              sub_C166        	LR=0000C4DF                             	
0000DEAD	ROM:sub_C166            	LDR             R0, [R0,#0x14]  	R0=00000001                             	
0000DEAD	ROM:sub_C166+2          	BX              LR              	                                        	
0000DEAD	ROM:0000C4DE            	LSLS            R0, R0, #0x1F   	R0=80000000 N=1                         	
0000DEAD	ROM:0000C4E0            	BPL             loc_C4D8        	                                        	
0000DEAD	ROM:0000C4E2            	MOVS            R0, #0          	R0=00000000 Z=1 N=0                     	
0000DEAD	ROM:0000C4E4            	BL              sub_F92A        	LR=0000C4E9                             	
0000DEAD	ROM:sub_F92A            	MRS.W           R1, PRIMASK     	R1=00000000                             	
0000DEAD	ROM:sub_F92A+4          	SUBS            R1, R1, #1      	R1=FFFFFFFF Z=0 N=1                     	
0000DEAD	ROM:sub_F92A+6          	SBCS            R1, R1          	                                        	
0000DEAD	ROM:sub_F92A+8          	LSRS            R1, R1, #0x1F   	R1=00000001 C=1 N=0                     	
0000DEAD	ROM:sub_F92A+A          	CPSID           I               	PRIMASK=00000001                        	
0000DEAD	ROM:sub_F92A+C          	DMB.W           SY              	                                        	
0000DEAD	ROM:sub_F92A+10         	LDR             R2, =unk_200003A5	R2=200003A5                             	
0000DEAD	ROM:sub_F92A+12         	LDR.W           R12, =unk_400E0818	R12=400E0818                            	
0000DEAD	ROM:sub_F92A+16         	MOVS            R3, #0          	R3=00000000 Z=1                         	
0000DEAD	ROM:sub_F92A+18         	STRB            R3, [R2]        	                                        	
0000DEAD	ROM:sub_F92A+1A         	LDR             R3, =0x400E0824 	R3=400E0824                             	
0000DEAD	ROM:sub_F92A+1C         	ADD.W           R3, R3, R0,LSL#2	                                        	
0000DEAD	ROM:sub_F92A+20         	LSLS            R3, R3, #0x16   	R3=09000000 C=0 Z=0                     	
0000DEAD	ROM:sub_F92A+22         	LSRS            R3, R3, #0x16   	R3=00000024                             	
0000DEAD	ROM:sub_F92A+24         	ORR.W           R3, R3, #0xAA000000	R3=AA000024                             	
0000DEAD	ROM:sub_F92A+28         	STR.W           R3, [R12]       	                                        	
0000DEAD	ROM:sub_F92A+2C         	MOVS            R3, #0          	R3=00000000 Z=1                         	
0000DEAD	ROM:sub_F92A+2E         	LDR.W           R12, =0x400E0824	R12=400E0824                            	
0000DEAD	ROM:sub_F92A+32         	STR.W           R3, [R12,R0,LSL#2]	                                        	
0000DEAD	ROM:sub_F92A+36         	CBZ             R1, locret_F96C 	                                        	
0000DEAD	ROM:sub_F92A+38         	MOVS            R0, #1          	R0=00000001 Z=0                         	
0000DEAD	ROM:sub_F92A+3A         	STRB            R0, [R2]        	                                        	
0000DEAD	ROM:sub_F92A+3C         	DMB.W           SY              	                                        	
0000DEAD	ROM:sub_F92A+40         	CPSIE           I               	PRIMASK=00000000                        	
0000DEAD	ROM:sub_F92A:locret_F96C	BX              LR              	                                        	
0000DEAD	ROM:0000C4E8            	ADD             SP, SP, #4      	SP=20001374 MSP=20001374                	
0000DEAD	ROM:0000C4EA            	POP.W           {R4-R7,LR}      	R4=00004000 R5=0000004E R6=00000000 R7=00000000 SP=20001388 LR=0000B0DF MSP=20001388	
0000DEAD	ROM:0000C4EE            	B.W             sub_CA4E        	                                        	
0000DEAD	ROM:sub_CA4E            	MRS.W           R0, PRIMASK     	R0=00000000                             	
0000DEAD	ROM:sub_CA4E+4          	SUBS            R0, R0, #1      	R0=FFFFFFFF N=1                         	
0000DEAD	ROM:sub_CA4E+6          	SBCS            R0, R0          	                                        	
0000DEAD	ROM:sub_CA4E+8          	LSRS            R0, R0, #0x1F   	R0=00000001 C=1 N=0                     	
0000DEAD	ROM:sub_CA4E+A          	CPSID           I               	PRIMASK=00000001                        	
0000DEAD	ROM:sub_CA4E+C          	DMB.W           SY              	                                        	
0000DEAD	ROM:sub_CA4E+10         	LDR             R1, =unk_200003A5	R1=200003A5                             	
0000DEAD	ROM:sub_CA4E+12         	LDR.W           R12, =0xAA000020	R12=AA000020                            	
0000DEAD	ROM:sub_CA4E+16         	MOVS            R2, #0          	R2=00000000 Z=1                         	
0000DEAD	ROM:sub_CA4E+18         	STRB            R2, [R1]        	                                        	
0000DEAD	ROM:sub_CA4E+1A         	LDR             R2, =unk_400E0818	R2=400E0818                             	
0000DEAD	ROM:sub_CA4E+1C         	LDR             R3, [R2,#(unk_400E0820 - 0x400E0818)]	                                        	
0000DEAD	ROM:sub_CA4E+1E         	STR.W           R12, [R2]       	                                        	
0000DEAD	ROM:sub_CA4E+22         	BIC.W           R3, R3, #0x10000	                                        	
0000DEAD	ROM:sub_CA4E+26         	STR             R3, [R2,#(unk_400E0820 - 0x400E0818)]	                                        	
0000DEAD	ROM:sub_CA4E+28         	CBZ             R0, locret_CA82 	                                        	
0000DEAD	ROM:sub_CA4E+2A         	MOVS            R0, #1          	Z=0                                     	
0000DEAD	ROM:sub_CA4E+2C         	STRB            R0, [R1]        	                                        	
0000DEAD	ROM:sub_CA4E+2E         	DMB.W           SY              	                                        	
0000DEAD	ROM:sub_CA4E+32         	CPSIE           I               	PRIMASK=00000000                        	
0000DEAD	ROM:sub_CA4E:locret_CA82	BX              LR              	                                        	
0000DEAD	ROM:sub_B0D2+C          	MOVS            R1, #0x10       	R1=00000010                             	
0000DEAD	ROM:sub_B0D2+E          	MOVS            R0, #4          	R0=00000004                             	
0000DEAD	ROM:sub_B0D2+10         	BL              sub_ADD6        	LR=0000B0E7                             	
0000DEAD	ROM:sub_ADD6            	AND.W           R3, R0, #0x1F   	R3=00000004                             	
0000DEAD	ROM:sub_ADD6+4          	LSRS            R0, R0, #5      	R0=00000000 C=0 Z=1                     	
0000DEAD	ROM:sub_ADD6+6          	MOVS            R2, #1          	R2=00000001 Z=0                         	
0000DEAD	ROM:sub_ADD6+8          	LSLS            R0, R0, #9      	Z=1                                     	
0000DEAD	ROM:sub_ADD6+A          	LSLS            R2, R3          	R2=00000010 Z=0                         	
0000DEAD	ROM:sub_ADD6+C          	ADD.W           R0, R0, #0x40000000	R0=40000000                             	
0000DEAD	ROM:sub_ADD6+10         	ADD.W           R0, R0, #0xE1000	R0=400E1000                             	
0000DEAD	ROM:sub_ADD6+14         	LSLS            R3, R1, #0x1C   	R3=00000000 C=1 Z=1                     	
0000DEAD	ROM:sub_ADD6+16         	ITE MI                          	IT[3:2]=3 IT[7:4]=4                     	
0000DEAD	ROM:sub_ADD6+18         	STRMI           R2, [R0,#0x74]  	IT[3:2]=2 IT[7:4]=5                     	
0000DEAD	ROM:sub_ADD6+1A         	STRPL           R2, [R0,#0x78]  	IT[3:2]=0 IT[7:4]=0                     	
0000DEAD	ROM:sub_ADD6+1C         	LSLS            R3, R1, #0x1B   	R3=80000000 C=0 Z=0 N=1                 	
0000DEAD	ROM:sub_ADD6+1E         	ITE MI                          	IT[3:2]=3 IT[7:4]=4                     	
